date,Selangor,Johor,Pulau Pinang,Negeri Sembilan,Terengganu,Pahang,Perlis,Kuala Lumpur,Kedah,Perak,Kelantan,Putrajaya,Melaka
1,61,34,55,49,40,43,49,50,49,47,51,51,39
2,67,49,62,59,51,55,55,58,56,58,65,62,52
3,67,47,59,58,41,52,47,61,52,56,52,60,55
4,63,52,47,58,44,52,37,58,40,49,50,57,60
5,64,45,48,54,39,46,32,58,39,50,44,54,55
6,61,52,51,54,47,51,46,56,43,48,47,53,59
7,62,49,54,55,51,55,42,56,45,54,55,56,60
8,58,43,43,48,46,50,30,50,34,46,47,49,54
9,60,46,45,48,43,43,32,52,37,46,47,47,49
10,65,51,48,54,45,47,37,55,37,46,52,53,54
11,59,42,39,49,29,34,28,52,31,39,36,44,46
12,65,37,49,50,40,41,42,56,46,48,50,49,45
